datetime,temperature,humidity,location,wet_bulb
2025-02-03 18:30:00+00:00,22.55,58.67,Mumbai,17.12
2025-02-03 19:30:00+00:00,22.2,57.08,Mumbai,16.59
2025-02-03 20:30:00+00:00,21.75,57.34,Mumbai,16.22
2025-02-03 21:30:00+00:00,21.45,57.27,Mumbai,15.95
2025-02-03 22:30:00+00:00,20.5,61.31,Mumbai,15.63
2025-02-03 23:30:00+00:00,20.1,62.64,Mumbai,15.44
2025-02-04 00:30:00+00:00,20.5,59.53,Mumbai,15.4
2025-02-04 01:30:00+00:00,20.8,61.38,Mumbai,15.91
2025-02-04 02:30:00+00:00,22.6,59.64,Mumbai,17.3
2025-02-04 03:30:00+00:00,24.95,63.31,Mumbai,19.94
2025-02-04 04:30:00+00:00,27.15,51.35,Mumbai,20.07
2025-02-04 05:30:00+00:00,28.45,44.94,Mumbai,20.09
2025-02-04 06:30:00+00:00,29.05,46.56,Mumbai,20.88
2025-02-04 07:30:00+00:00,29.55,43.54,Mumbai,20.75
2025-02-04 08:30:00+00:00,29.7,38.94,Mumbai,20.0
2025-02-04 09:30:00+00:00,29.05,37.15,Mumbai,19.13
2025-02-04 10:30:00+00:00,27.9,42.81,Mumbai,19.25
2025-02-04 11:30:00+00:00,26.6,52.37,Mumbai,19.75
2025-02-04 12:30:00+00:00,25.05,61.76,Mumbai,19.8
2025-02-04 13:30:00+00:00,24.35,67.3,Mumbai,19.96
2025-02-04 14:30:00+00:00,24.35,54.89,Mumbai,18.17
2025-02-04 15:30:00+00:00,24.35,46.04,Mumbai,16.83
2025-02-04 16:30:00+00:00,24.1,40.24,Mumbai,15.69
2025-02-04 17:30:00+00:00,23.65,39.31,Mumbai,15.17
2025-02-04 18:30:00+00:00,23.15,38.91,Mumbai,14.71
2025-02-04 19:30:00+00:00,22.65,38.76,Mumbai,14.28
2025-02-04 20:30:00+00:00,22.4,37.91,Mumbai,13.94
2025-02-04 21:30:00+00:00,22.15,37.07,Mumbai,13.61
2025-02-04 22:30:00+00:00,21.9,36.87,Mumbai,13.38
2025-02-04 23:30:00+00:00,21.65,37.18,Mumbai,13.23
2025-02-05 00:30:00+00:00,21.15,40.92,Mumbai,13.39
2025-02-05 01:30:00+00:00,20.9,39.74,Mumbai,13.01
2025-02-05 02:30:00+00:00,22.1,36.05,Mumbai,13.41
2025-02-05 03:30:00+00:00,24.55,30.04,Mumbai,14.26
2025-02-05 04:30:00+00:00,27.3,25.61,Mumbai,15.39
2025-02-05 05:30:00+00:00,29.55,22.55,Mumbai,16.26
2025-02-05 06:30:00+00:00,31.15,20.64,Mumbai,16.86
2025-02-05 07:30:00+00:00,31.55,21.99,Mumbai,17.51
2025-02-05 08:30:00+00:00,30.65,29.12,Mumbai,18.66
2025-02-05 09:30:00+00:00,29.5,37.89,Mumbai,19.63
2025-02-05 10:30:00+00:00,27.85,44.77,Mumbai,19.55
2025-02-05 11:30:00+00:00,26.4,48.13,Mumbai,18.9
2025-02-05 12:30:00+00:00,25.1,55.08,Mumbai,18.86
2025-02-05 13:30:00+00:00,24.4,54.2,Mumbai,18.11
2025-02-05 14:30:00+00:00,24.15,49.75,Mumbai,17.23
2025-02-05 15:30:00+00:00,23.8,44.1,Mumbai,16.06
2025-02-05 16:30:00+00:00,23.45,42.55,Mumbai,15.53
2025-02-05 17:30:00+00:00,23.15,41.21,Mumbai,15.07
2025-02-05 18:30:00+00:00,22.85,38.95,Mumbai,14.47
2025-02-05 19:30:00+00:00,22.6,37.07,Mumbai,13.97
2025-02-05 20:30:00+00:00,22.15,35.08,Mumbai,13.29
2025-02-05 21:30:00+00:00,21.65,34.94,Mumbai,12.87
2025-02-05 22:30:00+00:00,21.0,36.87,Mumbai,12.66
2025-02-05 23:30:00+00:00,20.45,38.4,Mumbai,12.45
2025-02-06 00:30:00+00:00,19.5,48.5,Mumbai,13.07
2025-02-06 01:30:00+00:00,19.3,48.44,Mumbai,12.89
2025-02-06 02:30:00+00:00,21.2,43.22,Mumbai,13.77
2025-02-06 03:30:00+00:00,24.2,36.52,Mumbai,15.15
2025-02-06 04:30:00+00:00,27.3,32.73,Mumbai,16.88
2025-02-06 05:30:00+00:00,29.85,30.79,Mumbai,18.43
2025-02-06 06:30:00+00:00,31.4,31.32,Mumbai,19.73
2025-02-06 07:30:00+00:00,31.75,35.09,Mumbai,20.84
2025-02-06 08:30:00+00:00,31.6,38.47,Mumbai,21.44
2025-02-06 09:30:00+00:00,31.0,40.06,Mumbai,21.27
2025-02-06 10:30:00+00:00,29.9,41.72,Mumbai,20.7
2025-02-06 11:30:00+00:00,28.65,45.42,Mumbai,20.34
2025-02-06 12:30:00+00:00,26.9,57.31,Mumbai,20.79
2025-02-06 13:30:00+00:00,26.25,61.06,Mumbai,20.79
2025-02-06 14:30:00+00:00,26.1,58.21,Mumbai,20.22
2025-02-06 15:30:00+00:00,25.65,58.66,Mumbai,19.89
2025-02-06 16:30:00+00:00,25.55,55.55,Mumbai,19.33
2025-02-06 17:30:00+00:00,25.2,56.17,Mumbai,19.11
2025-02-06 18:30:00+00:00,24.8,57.71,Mumbai,18.99
2025-02-06 19:30:00+00:00,24.2,59.82,Mumbai,18.76
2025-02-06 20:30:00+00:00,23.65,63.03,Mumbai,18.72
2025-02-06 21:30:00+00:00,23.0,66.81,Mumbai,18.64
2025-02-06 22:30:00+00:00,22.35,67.32,Mumbai,18.11
2025-02-06 23:30:00+00:00,22.25,64.97,Mumbai,17.7
2025-02-07 00:30:00+00:00,22.55,65.88,Mumbai,18.1
2025-02-07 01:30:00+00:00,22.45,66.49,Mumbai,18.09
2025-02-07 02:30:00+00:00,23.95,61.51,Mumbai,18.77
2025-02-07 03:30:00+00:00,26.6,53.55,Mumbai,19.94
